"Id","SalePrice"
1461,147170
1462,184690
1463,195330
1464,209089
1465,170838
1466,175607.5
1467,137290
1468,156542.2
1469,165845
1470,124838.3
1471,238950
1472,100890
1473,102040
1474,155940
1475,108640
1476,286823.2
1477,210080.8
1478,234684.6
1479,295613
1480,368607.6
1481,277837.6
1482,182099.4
1483,146080
1484,178682.5
1485,177350
1486,187209
1487,250552.4
1488,204374
1489,153804.1
1490,217550
1491,198950
1492,125700
1493,183612.2
1494,222600
1495,290165.4
1496,228240
1497,141805.6
1498,142428.9
1499,137113.3
1500,149953.3
1501,167263.3
1502,116340
1503,245670
1504,176450
1505,208250
1506,202505
1507,293375
1508,190427
1509,171020
1510,157780
1511,153400
1512,192917.2
1513,158165
1514,238635.9
1515,227019
1516,148559.7
1517,160500
1518,192518
1519,215995.6
1520,135550
1521,148650
1522,174390
1523,122326.6
1524,123780
1525,133505
1526,147300
1527,114740
1528,148600
1529,142295
1530,161250
1531,128703.4
1532,143470
1533,165350
1534,124510
1535,179310
1536,122255
1537,118555
1538,153400
1539,182150
1540,182150
1541,148655
1542,143685
1543,181443.5
1544,94170
1545,113640
1546,121180
1547,123105
1548,117085
1549,116790
1550,128895
1551,151650
1552,178640
1553,182318.7
1554,144828.9
1555,244932.2
1556,141590
1557,151950
1558,106290
1559,139400
1560,135295
1561,194580
1562,129600
1563,130140
1564,178183.7
1565,162630
1566,221300
1567,105336.1
1568,199916.5
1569,160650
1570,141080
1571,137490
1572,160750
1573,212600
1574,181114.1
1575,184350
1576,232050
1577,188069.4
1578,183841
1579,134325
1580,179250
1581,168820
1582,121240
1583,301371.6
1584,215150
1585,143470
1586,87811.1
1587,98379.3
1588,148850
1589,135970
1590,131240
1591,109865
1592,154568
1593,116550
1594,171305.3
1595,144940
1596,200600
1597,230701.5
1598,192897
1599,140320
1600,177630.1
1601,99778.3
1602,132630
1603,103402.7
1604,200753.9
1605,253155
1606,156720
1607,266029.3
1608,187604.9
1609,149132.2
1610,151550
1611,211116.9
1612,204178.3
1613,207604.9
1614,136950
1615,102990
1616,97300
1617,97440
1618,125380
1619,135275
1620,170600
1621,143725
1622,162615
1623,237026.9
1624,211218.6
1625,144615
1626,195690
1627,203519
1628,251480
1629,180190
1630,225740
1631,171565
1632,215160
1633,148194
1634,185170
